id	state	date
sample6706	GA	2020-03-14
sample6586	GA	2020-02-29
sample6675	GA	2020-09-19
sample6690	GA	2020-03-15
sample6656	GA	2020-07-01
sample6686	GA	2020-03-14
sample6667	GA	2020-03-17
sample6601	GA	2020-03-21
sample6683	GA	2020-03-16
sample6602	GA	2020-03-07
sample6616	GA	2020-04-28
sample6655	GA	2020-06-26
sample6666	GA	2020-03-18
sample6679	GA	2020-03-06
sample6674	GA	2020-09-12
sample6609	GA	2020-03-30
sample6684	GA	2020-03-13
sample6651	GA	2020-06-29
sample6685	GA	2020-03-14
sample6597	GA	2020-03-07
sample6636	GA	2020-07-29
sample6630	GA	2020-07-01
sample6619	GA	2020-04-27
sample6663	GA	2020-03-17
sample6627	GA	2020-03-22
sample6657	GA	2020-06-27
sample6673	GA	2020-09-11
sample6698	GA	2020-03-16
sample6646	GA	2020-06-30
sample6681	GA	2020-03-16
sample6631	GA	2020-07-01
sample6590	GA	2020-03-04
sample6689	GA	2020-03-15
sample6591	GA	2020-03-05
sample6645	GA	2020-06-30
sample6632	GA	2020-07-29
sample6671	GA	2020-03-18
sample6662	GA	2020-03-18
sample6612	GA	2020-03-13
sample6640	GA	2020-06-25
sample6641	GA	2020-06-25
sample6707	HI	2020-03-05
sample6708	HI	2020-03-07
sample6709	HI	2020-03-12
sample6710	HI	2020-03-12
sample6711	HI	2020-03-17
sample6712	HI	2020-03-16
sample6713	HI	2020-03-18
sample6714	HI	2020-03-19
sample6715	HI	2020-03-18
sample6716	HI	2020-03-13
sample6719	IA	2020-03-08
sample6720	IA	2020-03-08
sample6721	IA	2020-03-08
sample6722	IA	2020-03-08
sample6723	IA	2020-03-08
sample6724	IA	2020-03-07
sample6725	IA	2020-03-07
sample6728	IA	2020-04-11
sample6740	IA	2020-03-07
sample6741	IA	2020-05-08
sample6742	IA	2020-05-26
sample6743	IA	2020-05-04
sample6744	IA	2020-06-29
sample6745	IA	2020-07-01
sample6746	IA	2020-07-01
sample6748	IA	2020-04-29
sample6749	IA	2020-07-08
sample6750	IA	2020-07-10
sample6751	IA	2020-07-18
sample6752	IA	2020-07-27
sample6753	IA	2020-08-01
sample6754	IA	2020-08-04
sample6755	IA	2020-08-05
sample6756	IA	2020-08-14
sample6757	IA	2020-08-17
sample6758	IA	2020-08-20
sample6759	IA	2020-08-19
sample6760	IA	2020-08-21
sample6761	IA	2020-08-24
sample6762	IA	2020-08-31
sample6763	IA	2020-09-01
sample6764	IA	2020-09-02
sample6765	IA	2020-09-05
sample6766	IA	2020-09-05
sample6767	IA	2020-09-04
sample6768	IA	2020-09-08
sample6769	IA	2020-09-14
sample6770	IA	2020-03-09
sample6771	IA	2020-03-09
sample6772	IA	2020-03-09
sample6773	IA	2020-03-09
sample6774	IA	2020-03-09
sample6775	IA	2020-03-09
sample6776	IA	2020-03-07
sample6777	IA	2020-03-07
sample6778	IA	2020-03-09
sample6779	IA	2020-03-09
sample6780	IA	2020-03-10
sample6781	IA	2020-03-11
sample7068	IA	2020-06-27
sample6858	ID	2020-04-01
sample6819	ID	2020-04-01
sample6947	ID	2020-03-22
sample6888	ID	2020-03-19
sample6933	ID	2020-03-12
sample6831	ID	2020-03-30
sample6810	ID	2020-03-29
sample6855	ID	2020-03-28
sample6945	ID	2020-03-17
sample6833	ID	2020-03-27
sample6824	ID	2020-04-02
sample6787	ID	2020-03-21
sample6929	ID	2020-03-28
sample6862	ID	2020-04-02
sample6943	ID	2020-03-27
sample6863	ID	2020-04-01
sample6825	ID	2020-04-03
sample6921	ID	2020-03-17
sample6905	ID	2020-03-16
sample6934	ID	2020-03-13
sample6946	ID	2020-03-20
sample6949	ID	2020-03-17
sample6893	ID	2020-03-20
sample6874	ID	2020-03-18
sample6951	ID	2020-03-20
sample6886	ID	2020-03-22
sample6859	ID	2020-04-01
sample6928	ID	2020-03-15
