id	state	date
sample13154	NH	2020-03-06
sample13155	NH	2020-03-06
sample13156	NH	2020-03-18
sample13175	NJ	2020-04-02
sample13209	NJ	2020-03-17
sample13204	NJ	2020-03-16
sample13180	NJ	2020-03-19
sample13213	NJ	2020-03-16
sample13196	NJ	2020-03-14
sample13176	NJ	2020-04-02
sample13240	NJ	2020-03-14
sample13159	NJ	2020-03-20
sample13199	NJ	2020-06-28
sample13167	NJ	2020-04-10
sample13223	NJ	2020-03-14
sample13174	NJ	2020-04-02
sample13166	NJ	2020-04-09
sample13198	NJ	2020-06-25
sample13336	NM	2020-08-21
sample13467	NM	2020-08-24
sample13463	NM	2020-08-24
sample13570	NM	2020-08-26
sample13310	NM	2020-06-16
sample13583	NM	2020-08-26
sample13530	NM	2020-06-15
sample13612	NM	2020-05-12
sample13462	NM	2020-08-24
sample13411	NM	2020-09-03
sample13553	NM	2020-07-20
sample13539	NM	2020-06-18
sample13367	NM	2020-09-02
sample13356	NM	2020-09-01
sample13299	NM	2020-07-22
sample13775	NV	2020-05-18
sample13679	NV	2020-03-23
sample13807	NV	2020-03-18
sample13811	NV	2020-03-18
sample13734	NV	2020-04-18
sample13651	NV	2020-04-18
sample13710	NV	2020-04-13
sample13751	NV	2020-04-30
sample13784	NV	2020-05-20
sample13801	NV	2020-06-02
sample13771	NV	2020-05-16
sample13656	NV	2020-03-14
sample13805	NV	2020-08-27
sample13782	NV	2020-05-19
sample13707	NV	2020-04-11
sample14205	NY	2020-03-21
sample16094	NY	2020-03-27
sample15182	NY	2020-03-16
sample16189	NY	2020-03-15
sample15594	NY	2020-03-25
sample15948	NY	2020-04-13
sample13874	NY	2020-03-22
sample15090	NY	2020-03-28
sample14358	NY	2020-03-20
sample13846	NY	2020-03-18
sample14785	NY	2020-03-16
sample16221	NY	2020-03-15
sample15590	NY	2020-03-17
sample14176	NY	2020-03-19
sample14031	NY	2020-03-20
sample16306	OH	2020-03-31
sample16315	OH	2020-03-16
sample16316	OH	2020-03-17
sample16308	OH	2020-07-12
sample16314	OH	2020-03-23
sample16305	OH	2020-03-07
sample16321	OH	2020-03-15
sample16302	OH	2020-04-01
sample16320	OH	2020-03-16
sample16319	OH	2020-03-18
sample16307	OH	2020-03-31
sample16312	OH	2020-04-01
sample16303	OH	2020-03-08
sample16304	OH	2020-03-08
sample16311	OH	2020-03-27
sample16322	OK	2020-03-13
sample16323	OK	2020
sample16324	OK	2020-05-27
sample16325	OK	2020-05-27
sample16326	OK	2020-05-27
sample16327	OK	2020-04-10
sample16328	OK	2020-03-19
sample16329	OK	2020-03-17
sample16330	OK	2020-03-16
sample16331	OK	2020-03-18
sample16332	OK	2020-03-18
sample16333	OK	2020-03-18
sample16334	OK	2020-03-18
sample16553	OR	2020-07-07
sample16446	OR	2020-07-16
sample16557	OR	2020-07-08
sample16635	OR	2020-04-13
sample16632	OR	2020-04-12
sample16769	OR	2020-06-13
sample16362	OR	2020-04-03
sample16833	OR	2020-07-29
sample16670	OR	2020-04-24
sample16533	OR	2020-07-02
sample16852	OR	2020-04-20
sample16783	OR	2020-07-20
sample16398	OR	2020-05-29
sample16649	OR	2020-04-18
sample16534	OR	2020-07-02
sample17026	PA	2020
sample16960	PA	2020-03-27
sample17038	PA	2020-04-07
sample17061	PA	2020-03-15
sample17027	PA	2020
sample16969	PA	2020-03-26
sample17020	PA	2020
sample16971	PA	2020-03-26
sample16978	PA	2020-03-25
sample16977	PA	2020-03-23
sample17040	PA	2020-04-05
sample16966	PA	2020-03-27
sample16936	PA	2020-03-09
sample17055	PA	2020-03-13
sample16974	PA	2020-03-26
sample17092	PR	2020-08-06
sample17094	PR	2020-08-11
sample17103	PR	2020-08-01
sample17104	PR	2020-03-16
sample17080	PR	2020-08-08
sample17101	PR	2020-08-02
sample17082	PR	2020-08-11
sample17095	PR	2020-08-11
sample17102	PR	2020-08-03
sample17083	PR	2020-08-11
sample17085	PR	2020-08-11
sample17088	PR	2020-08-12
sample17091	PR	2020-08-05
sample17071	PR	2020-06-29
sample17072	PR	2020-06-30
sample17105	RI	2020-02-28
sample17106	RI	2020-03-01
sample17107	RI	2020-03-05
sample17108	RI	2020-03-09
sample17109	RI	2020-07-30
sample17110	RI	2020-07-30
